,Particulate Microcystin (µg/L)
470,-0.9641029890013384
471,0.17143714196768575
472,1.7577042333727675
473,0.36577847419280957
474,1.459511015422967
475,1.318451200873019
476,-0.9641029890013384
477,1.7693884068233459
478,-0.9641029890013384
479,-0.030258185917916423
480,1.854657203189422
481,1.5876804968173184
482,-0.9336351244452626
483,-0.3838671873928667
484,-0.09022407390944336
485,-0.6046642110401186
486,-0.9641029890013384
487,-0.9641029890013384
488,-0.9641029890013384
489,1.0013532819122135
490,-0.9641029890013384
491,-0.9641029890013384
492,-0.3838671873928667
493,-0.9641029890013384
494,1.6592788716201983
495,1.7625293982560504
496,-0.9641029890013384
497,-0.9641029890013384
498,0.10549910273934478
499,-0.6755249514397584
500,-0.8076303190596243
501,-0.9641029890013384
502,-0.1504515554970589
503,-0.9641029890013384
504,0.9603154510247166
505,-0.8264027350691016
506,-0.3838671873928667
507,1.6040292226190798
508,-0.7406027733731522
509,-0.13795979150402682
510,1.342681064590273
511,-0.3838671873928667
512,1.7117727903109192
513,-0.9641029890013384
514,1.797933359787428
515,-0.9641029890013384
516,0.9363311619345897
517,-0.3838671873928667
518,-0.9641029890013384
519,-0.9593278247625626
520,-0.9641029890013384
521,1.153327820720031
522,-0.9641029890013384
523,-0.9641029890013384
524,-0.3263134830589603
525,1.1035886507081691
526,1.2307333788878208
527,-0.9641029890013384
528,-0.33593908621905905
529,1.234793996995928
530,-0.3838671873928667
531,0.9246540821068556
532,1.31226605858718
533,-0.9641029890013384
534,-0.8710568042051589
535,0.75134741968282
536,0.6823325157748875
537,1.3626722060740237
538,-0.9641029890013384
539,-0.9641029890013384
540,0.6316538846835565
541,1.6847568555624104
542,0.8194630526861368
543,-0.7133866526277266
544,-0.3915176355865707
545,-0.8264027350691016
546,-0.7731582563139198
547,-0.5943918862137174
548,-0.15779700896853205
549,1.2001526874006823
550,-0.9641029890013384
551,-0.07292038919937442
552,-0.9641029890013384
553,0.6744675520896688
554,1.701920115811455
555,-0.2415583885932831
556,-0.9022997046958233
557,-0.3838671873928667
558,-0.3838671873928667
559,1.7907849879702369
560,-0.9641029890013384
561,1.8982152473372615
562,-0.9641029890013384
563,1.35757400878173
564,1.79366709611589
565,1.5813912254023332
566,0.24511660895198226
567,-0.720441420991992
568,-0.2148544006040426
569,-0.3838671873928667
570,-0.9593278247625626
571,-0.4729497336472554
572,-0.9641029890013384
573,0.8782617201531306
574,1.6653767742320587
575,-0.9641029890013384
576,-0.3838671873928667
577,1.4411598547692874
578,-0.9641029890013384
579,-0.9641029890013384
580,-0.5894365174661801
581,0.4525344347266899
582,-0.8938420994806469
583,-0.9641029890013384
584,-0.9641029890013384
585,-0.9641029890013384
586,-0.8076303190596243
587,1.3572069754372869
588,-0.7590901580066012
589,-0.9641029890013384
590,-0.3838671873928667
591,-0.045266898449758626
592,1.2583613800977274
593,-0.03857265032016006
594,1.7745293938924183
595,0.21548247558499134
596,0.05091661706858102
597,0.3127404827534796
598,-0.9641029890013384
599,0.3091322315740706
600,-0.49307965395957964
601,0.8889571903908354
602,0.45032023937646953
603,-0.9641029890013384
604,0.19485204594948274
605,1.0081445525704762
606,1.4430901937688205
607,-0.9641029890013384
608,-0.7417967596293408
